抽せん日,本数字,回別,ストレート,ボックス,セット(ストレート),セット(ボックス),販売実績額
2025-12-01,"[5, 3, 9, 6]",第6868回,940800,39200,490000,19600,
2025-12-02,"[6, 9, 3, 6]",第6869回,839700,69900,454800,34900,
2025-12-03,"[7, 2, 6, 3]",第6870回,763400,31800,397600,15900,
2025-12-04,"[5, 5, 7, 1]",第6871回,1112300,92600,602400,46300,
2025-12-05,"[4, 7, 8, 4]",第6872回,820100,68300,444200,34100,
2025-12-08,"[3, 4, 9, 3]",第6873回,298300,24800,161500,12400,
2025-12-09,"[3, 1, 2, 3]",第6874回,918000,76500,497200,38200,
2025-12-10,"[5, 2, 7, 2]",第6875回,494500,41200,267800,20600,
2025-12-11,"[2, 2, 0, 8]",第6876回,1040900,86700,563800,43300,
2025-12-12,"[2, 5, 2, 8]",第6877回,706200,58800,382500,29400,
2025-12-15,"[7, 2, 2, 1]",第6878回,749100,62400,405700,31200,
2025-12-16,"[2, 3, 1, 0]",第6879回,691400,28800,360100,14400,
2025-12-17,"[0, 4, 9, 7]",第6880回,470400,19600,245000,9800,
2025-12-18,"[5, 8, 7, 9]",第6881回,299300,12400,155800,6200,
2025-12-19,"[4, 9, 4, 4]",第6882回,796700,199100,497900,99500,
2025-12-22,"[9, 7, 8, 5]",第6883回,857400,35700,446500,17800,
2025-12-23,"[3, 2, 7, 8]",第6884回,781000,32500,406700,16200,
2025-12-24,"[3, 9, 8, 4]",第6885回,795000,33100,414000,16500,
2025-12-25,"[6, 3, 3, 3]",第6886回,434000,108500,271200,54200,
2025-12-26,"[4, 1, 4, 1]",第6887回,921300,153500,537400,76700,
2025-12-29,"[2, 1, 2, 1]",第6888回,182000,30300,106100,15100,
